CODIGO;PERFIL;NOME;CNPJ;CONTATO;TELEFONE;ENDEREÇO;NUMERO/COMPLEMENTO;BAIRRO;UF;MUNICIPIO;CEP;SEG. A SEX.;SÁBADO;INSTAGRAM;E-mail;Time;Vendedor
ooooo2;LOJA;MEDINA BIKES;143280000197;PEDRO;51 991219066 / 34882949;AV DORIVAL CANDIDO LUZ DE OLIVEIRA;1433;COHAB A;RS;GRAVATAI;94050-000;09:30 as 12 e das 13:30 as 18:30h;08:30 as 12h;;medinabikes@soulcycles.com.br;;
W000CS;LOJA;NACIONAL BIKE;28507977000119;RODRIGO;16 33315892;R. DR. MARIO OPICE;543;PARQUE IGAÇABA;SP;ARARAQUARA;14804-400;9 as 18:30;9 as 13;NACIONALBIKES;nacionalbikes@soulcycles.com.br;ELIS;ELIS
W000CZ;LOJA;BP BIKE SHOP;28927543000178;ELISIANE;54 37711369;R. BUARQUE DE MACEDO;3211;CENTRO;RS;CARLOS BARBOSA;95185-000;9 as 18:30;9 as12;;biopoint@soulcycles.com.br;;
W000D1;LOJA;CICLOVIA BICICLETAS;1024515000194;LEANDRO;55 991118092;R RADIALTA FREDY GERMANO;111, SALA F FUNDOS;J KUBISTCHECK;RS;SANTA MARIA;97035-660;08 as 18:30h;08 as 13h;;CICLOVIABICICLETAS@SOULCYCLES.COM.BR;;
W000DA;LOJA;BIKE7 DOIS CORREGOS;26010341000131;ANDERSON;14 981128120;AV JOAO ZAGO;260;JARDIM MARINA;SP;DOIS CORREGOS;17300-000;09 as 18h;09 as 12h;;BIKE7DOISCORREGOS@SOULCYCLES.COM.BR;ELIS;JOABE
W000DB;LOJA;BIKE RUNNERS;35591615000114;FABIO;11 947842766;R. GONÇALO COELHO;216;VILA FORMOSA;SP;SÃO PAULO;033588-110;8 as 19;10 as 16;;bikerunners@soulcycles.com.br;;
W000DF;LOJA;UP BIKE STORE;8018389000104;ALECS;54 981158206;R. ANDRADE NEVES;363;ESPOSIÇÃO;RS;CAXIAS DO SUL;95084-200;12 as 19:30;9 as 13;;UPBIKES@SOULCYCLES.COM.BR;;
W000DG;LOJA;BIK'S STORE;5664918000159;ANDERSON;42 36295224 / 984184971;R QUINTINO BOCAIUVA;1951, SALA 01    ;CENTRO;PR;GUARAPUAVA;85010-300;09 as 11:30 e das 13 as 18:30h;09 as 13h;;BIKSSTORE@SOULCYCLES.COM.BR;;
W000DT;LOJA;BIKE GIRO;7207677000144;ELTON;34 998284227;PC BANDEIRANTES;36;BRASIL;MG;PATOS DE MINAS;38700-358;08 as 18h;08 as 13h;;BIKEGIRO@SOULCYCLES.COM.BR;;
W000DY;LOJA;ENTRE TRILHAS;13097362000275;MATHEUS;31 984756853;R ALVARO GUIMARAES BRESSAN;27;BAUXITA;MG;OURO PRETO;35400-000;09 as 18:30h;09 as 13h;;ENTRETRILHAS@SOULCYCLES.COM.BR;;
W000E2;LOJA;INFINITI BIKE SHOP;33.589.372/0001-54;ROMULO;19 3894 5439;AV. CONCEIÇÃO;1708;VILA MARIA;SP;INDAIATUBA;13.334-345;9 as 19;9 as 13;;INFINITI@SOULCYCLES.COM.BR;;
W000E4;LOJA;SQUADRA BIKE SHOP;33913469000251;BRUNO;12 92557147;AV JUSCELINO KUBITSCHEK DE OLIVEIRA;1000;CAMPO DO GALVAO;SP;GUARATINGUETA;12505-300;10 as 20h;10 as 13h;;SQUADRA@SOULCYCLES.COM.BR;;
W000EG;MECÂNICO;SF BIKE SHOP;29540475000152;SIDNEI;19 34636881/ 981805677;AV PREFEITO JOSE MARIA DE ARAUJO JUNIOR;535, LOJA 2;JARDIM FIRENZE;SP;SANTA BARBARA D'OSTE;13.450-860;09 as 19h;09 as 13h;-;;ELIS;JOABE
W000EP;LOJA;BIKERS HOUSE;38217026000169;TIAGO / RICARDO;35 999011092;AV VICENTE SIMOES;930/01;NOVO HORIZONTE;MG;POUSO ALEGRE;37.554-122;9 as 18h;9 as 13h;;BIKERSHOUSE@SOULCYCLES.COM.BR;;
W000EQ;LOJA;REICHERT BIKES;36571474000130;RICARDO;51 998431815;R. VISCONDE DE MAUA;434;CENTRO;RS;CAMPO BOM;93700-000;9 as 18:30;8 as 12;;REICHERTBICICLETAS@SOULCYCLES.COM.BR ;;
W000ES;LOJA;FIO BIKE SHOP;43306515000127;DANILO;19 981559239;AV. DE CILO;4258;PARQUE NOVO MUNDO;SP;AMERICANA;13467-600;9 as 18;8 as 13;FIOBIKESHOP;fiobikeshop@soulcycles.com.br;;
W000EV;LOJA;BIKE EXTREME CONCEPT;30966946000178;GUERA;11 982323068;AV. FREDERICO STRUBE;934;VILA OLIVEIRA;SP;MOGI DAS CRUZES;08790-060;-;-;;EXTREME@SOULCYCLES.COM.BR ;;
W000F2;LOJA;MARCÃO BIKE SHOP;27041262000150;MARCAO;32 98823 6212;R MARECHAL HUMBERTO CASTELO BRANCO;1058;VILA MIRALDA;MG;LEOPOLDINA;82590-300;9 as 19;8 as 12;;;;
W000FF;LOJA;LEAL BIKE ;3745045000183;LEONARDO;19 34512381;R EVARISTO OLIVATTO FILHO;1113;JARDIM CAIEIRA;SP;LIMEIRA;13483-200 ;08 as 18h;08 as 14h;;;ELIS;JOABE
W000FH ;MECÂNICO;LEGEND BIKE SHOP ;26526523000160;RONALDO;11 961091725;R PASCOAL PAIS;50;VILA CORDEIRO;SP;SÃO PAULO;04569-001;10 as 19h;-;h.bikeoficina;;;
W000FM;LOJA;CONSERTA BIKE PARAGOMINAS;45339262000113;LAUANY / MARCELO;91 993651252 / 982377587;AV CONTORNO;298;CELIO MIRANDA;PA;PARAGOMINAS;68626-220;08 as 18h;08 as 18h;;;;
W000FN;MECÂNICO;STREET BIKE OFICINA;33387436000134;ROBSON;11 999890506;R BRASIL;270;VILA ISABEL EBER;SP;JUNDIAÍ;13202-284;08:30 as 18h;08:30 as 12h;streetbikejundiai;;;
W000FO;LOJA;CENTRAL BIKES;66274747000146;RAMIRES;35 999541167;R FRANCISCO MASSELI;52;CENTRO;MG;ITAJUBÁ;37500-058 ;08:30 as 18:30h;08:30 as 13h;;;;
W000FP;MECÂNICO;EVERYBIKE;24113978000128;JUNIOR;11 995377036;R FRANCA PINTO;421;VILA MARIANA;SP;SÃO PAULO;04016-032;10 as 19h;10:30 as 16:30h;everybike_oficial;;;
W000FR;LOJA;TORINO BIKES;39297995000130;RAFAEL;46991303515;R TAPAJOS;432;CENTRO;PR;PATO BRANCO ;85501-043;08 as 19h;10 as 13h;;;;
